food_group_id,country,project,food_article_0,food_article_1,food_article_2,food_article_3,food_article_4,food_article_5,food_article_6,food_article_7,food_article_8,food_article_9,food_article_10,food_article_11,food_article_12,food_article_13,food_article_14,food_article_15,food_article_16,food_article_17,food_article_18,food_article_19,food_article_20,food_article_21,food_article_22,food_article_23,food_article_24,food_article_25,food_article_26,food_article_27,food_article_28,food_article_29,food_article_30,food_label_0,food_label_1,food_label_2,food_label_3,food_label_4,food_label_5,food_label_6,food_label_7,food_label_8,food_label_9,food_label_10,food_label_11,food_label_12,food_label_13,food_label_14,food_label_15,food_label_16,food_label_17,food_label_18,food_label_19,food_label_20,food_label_21,food_label_22,food_label_23,food_label_24
kmeans_augmented_c4_g1,4,food,Malbec,Soju,Prohibition in the United States,Apéritif and digestif,Barrel,Barrel (unit),Lemonade,White Russian (cocktail),Buckfast Tonic Wine,Arnold Palmer (drink),Amarone,Mulled wine,Gin,Bitters,Blush,Wheat beer,Jack Daniel's,Margarita,Mai Tai,Irish coffee,Asahi Breweries,Jameson Irish Whiskey,Slivovitz,Stout,Prosecco,Tequila Sunrise (cocktail),Alcohol intoxication,Bartending terminology,Whisky,Apple cider,Cocktail,cocktail,new york,bottle,fermented drinks,beer,,alcohol,take,describe,alcoholic drinks,alcohol,episode,place,beers,brewery,alcoholic beverage,wines,alcoholic drinks by country,wine,,,grapes,produced,wine,
kmeans_augmented_c1_g6,1,food,Dim sum,Peanut butter and jelly sandwich,Salami,Oven,Doughnut,Balut (food),California roll,Baba ghanoush,Rutabaga,Nachos,Sandwich,Worcestershire sauce,Biscuit,Poutine,Computer Science,Mince pie,Chowder,Pasta,Casu marzu,Baguette,Wedding cake,Aspic,Burns supper,Polenta,Poached egg,"Meal, Ready-to-Eat",Turkish delight,Kashrut,Evaporated milk,Pizza,Goat meat,bread,meat,range,preparation,cooked,served,cuisine by country,cheese,,pork,occur,sugar,beef,dish,cuisine by region,salmon,abalone,cuisine,traditional,cuisine,dishes,sea,food and drink by country,culture by country,
kmeans_augmented_c6_g17,6,food,Cabbage,Apple,Darjeeling tea,Artichoke,Cannabis,Arrowroot,Habanero,Silphium,Lycopene,Tea,Nutmeg,Fruit,Peanut,Phytophthora infestans,Amaranth,Lingzhi mushroom,Camellia sinensis,Durian,Gooseberry,Watermelon,Illicium verum,Key lime,Artemisia absinthium,Kiwifruit,Garlic,Anise,Nut (fruit),Macadamia,Hairstyle,Curry tree,Olive,plant products,seeds,cultivar,edible plants,flora by continent,types of food,plants and humans,dessert,cultivars,version,leaves,genus,cultivation,,plants,fruit,flowering plant,preparation,cooking,,plant,,potato,flowers,tree
kmeans_plain_c0_g6,0,food,Dietary supplement,Fruitarianism,Dry ice,Yeast,Genetically modified food controversies,Kombucha,Alum,Ethyl acetate,Stevia,Pressure cooking,Casein,Sodium bicarbonate,Limonene,Earbuds,Benzyl alcohol,Nutrition facts label,Shellac,Ethylenediaminetetraacetic acid,Butter,Cocoa bean,Sodium acetate,Hemp oil,Quinine,Ethyl acetate,World Food Programme,Maltose,Coconut oil,Livestock,A2 milk,Gluten,Macrobiotic diet,protein,,effects,nutrition,beverage,acid,intake,canada,start,increase,health,food and drink,organic compound,operate,carbohydrate,diet,processing,health,studies,food politics,food additives,food,chemical formula,offer,
kmeans_plain_c3_g16,3,food,Riesling,Arnold Palmer (drink),Mulled wine,Scotch whisky,Tom Collins,Bartending terminology,Cognac,Juniper berry,Dionysus,Mead,Eggnog,Wine,Gin,Naruto,Anheuser-Busch InBev,Rioja (wine),Pisco sour,Drink,Cabernet Sauvignon,Zinfandel,Wassail,Coors Brewing Company,Pisco sour,Temperance movement,Sangiovese,Alcohol proof,Asahi Breweries,Hops,Jameson Irish Whiskey,Absinthe,Pinot noir,fermented drinks,produced,alcoholic beverage,bottle,wines,cocktail,,alcoholic drinks by country,,take,alcoholic drinks,place,describe,grapes,brewery,episode,wine,,alcohol,new york,beers,,wine,beer,alcohol
LDA_c3_g15,3,food,Andrew Zimmern,Howard Schultz,Heart Attack Grill,Arby's,Painting,Milkshake,White Castle (restaurant),Panda Express,The Gods Must Be Crazy,B. Smith,Poutine,John Torode,Yotam Ottolenghi,Last meal,Big Mac,Cheesesteak,Sommelier,Cafeteria,Fast food restaurant,Sideways,Thomas Keller,Wendy's,Tim Horton,Nolan Bushnell,Auguste Escoffier,Whopper,Hairy Bikers,Guy Fieri,Giada De Laurentiis,Knott's Berry Farm,MasterChef Australia,locations,restaurants by century of establishment,time,fast food,restaurants by time,,restaurants,food,location,restaurant chain,chain,restaurant,,,work,opened,year,city,restaurants,restaurants by year of establishment,new,restaurants by type,united states,new york city,menu
kmeans_augmented_c6_g41,6,food,Banana,Parsley,Brazil nut,Artichoke,Broccoli,Kumquat,Spice,Lavandula,Adansonia,Anthocyanin,Persimmon,Chicory,Cashew,Olive,Meyer lemon,Poppy seed,Silphium,Vaccinium vitis-idaea,Hazelnut,Shiso,Hazelnut,Kiwifruit,Almond,Chayote,Black pepper,Turmeric,Lepidium meyenii,Quinoa,Beetroot,Crataegus,,plant products,leaves,plant,,plants,cultivars,tree,types of food,dessert,flowering plant,seeds,cultivation,fruit,,flowers,preparation,version,,potato,edible plants,plants and humans,cultivar,genus,flora by continent,cooking
kmeans_plain_c6_g21,6,food,Black tea,Olive,Ambrosia,Melon,Aegle marmelos,Morchella,Coconut,Apple,Ajwain,Kale,Barley,Lepidium meyenii,Annatto,Poppy seed,Guarana,Borage,Chili pepper,Turnip,Spice trade,Moringa oleifera,Cayenne pepper,Bhut jolokia,Gooseberry,Bell pepper,Computer Science,Chrysanthemum,Wheat,Mung bean,Arrowroot,Achillea millefolium,Lingzhi mushroom,,tree,preparation,plant,leaves,seeds,dessert,flowering plant,flora by continent,cultivar,plants,genus,potato,flowers,edible plants,version,plant products,cultivation,fruit,plants and humans,cooking,types of food,cultivars,,
kmeans_plain_c1_g22,1,food,Red Bull,Trader Joe's,Restaurant Brands International,Baskin-Robbins,Panda Express,Diet Coke,Knott's Berry Farm,Soft drink,Applebee's,Aldi,Colonel Sanders,Gary Vaynerchuk,The Gods Must Be Crazy,SunTrust Banks,John Hickenlooper,Wendy's,Panera Bread,Quaker Oats Company,Wegmans,Tim Hortons,Starburst (confectionery),Dr Pepper,Fast food,Gatorade,Coca-Cola,Pepsi,Online food ordering,Mars (chocolate bar),Unilever,Computer Science,Whopper,united states,marketing,green,early,food product brands,company,white,brands,stores,,brand,operations,fast food,locations,united,chain,companies by industry and year of establishment,food and drink companies by year of establishment,juice,establishments in the united states by year,cultivate,soft drink,united kingdom,the coca-cola company,brands
kmeans_plain_c0_g15,0,food,Food preservation,Potassium iodide,Fructose,Agar,Coffee bean,Juice,Sucrose,Gluten-free diet,Ultra-high-temperature processing,Xylitol,Sugar substitute,Quorn,Inedia,Weight loss,Limonene,Glutamic acid,Hemp oil,Malic acid,Smoke point,Apple cider vinegar,A2 milk,Hairstyle,The China Study,Hemp,Casein,Milk,Paraben,Mannitol,Acetone,FODMAP,Microwave oven,chemical formula,canada,effects,protein,food politics,start,carbohydrate,operate,food and drink,organic compound,acid,intake,studies,,processing,nutrition,increase,health,beverage,diet,food additives,offer,health,food,
